access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_network_ids,federal_agency
public,24 hours daily,,,2020-01-27,,ELEC,Public,41847,,,E,CLT AIRPORT,888-758-4389,2020-01-27T10:14:46Z,,200-9,35.232643,-80.933936,Charlotte,"BUS VALET 01
BUS VALET 02; Buisness Valet 1 lower level
BUS. VALET 01; Complimentary when parking in Business Valet
BUS. VALET 02; Complimentary when Parking in Business Valet
BUS. VALET 03; Business Valet Parking Area. Please see attendant for access. Parking Fees Apply
BUS. VALET 04; Business Valet Parking Area. Please see Attendant for Access. Parking Fees Apply
BV2 BASEMENT 1; Lower level BV2 parking deck",,NC,5601 Wilkinson Blvd,28208,US,"['J1772', 'NEMA520']",,2.0,12.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:238731', '1:238751', '1:40413', '1:40543', '1:5405', '1:5875', '1:729701'], 'ports': ['1', '2']}",
public,24 hours daily; pay garage,,,2019-11-08,,ELEC,Public,42396,2011-11-14,LG,E,City Municipal Deck,919-996-3030,2020-01-21T18:34:38Z,MUNI_GOV,200-8,35.779082,-78.641779,Raleigh,P3 Level of Parking Deck,,NC,201 W Morgan St,27601,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,24 hours daily; metered parking,,,2019-11-08,,ELEC,Public,42397,2011-11-14,LG,E,City of Raleigh,919-996-3030,2020-01-21T18:34:38Z,STREET_PARKING,200-8,35.777283,-78.639281,Raleigh,Curbside pay parking,,NC,231 Fayetteville St,27601,US,['J1772'],,,1.0,Non-Networked,,,Free,,,
public,24 hours daily,,,2019-11-08,,ELEC,Public,42398,2011-11-14,LG,E,City of Raleigh - Walnut Creek Wetland Center,919-996-3030,2020-01-21T18:34:38Z,PARK,200-9,35.760404,-78.625005,Raleigh,,,NC,950 Peterson St,27610,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,24 hours daily,,,2019-11-08,,ELEC,Public,42399,2011-11-14,LG,E,City of Raleigh - Optimist Park and Community Center,919-996-3030,2020-01-21T18:34:38Z,REC_SPORTS_FACILITY,200-8,35.862603,-78.643641,Raleigh,,,NC,5910 Whittier Dr,27609,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,24 hours daily,,,2019-11-08,,ELEC,Public,42400,2011-11-14,LG,E,City of Raleigh - Jaycee Park and Community Center,919-996-3030,2020-01-21T18:34:38Z,REC_SPORTS_FACILITY,200-8,35.800443,-78.663445,Raleigh,,,NC,2401 Wade Ave,27607,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,24 hours daily,,,2019-11-08,,ELEC,Public,42401,2011-11-14,LG,E,City of Raleigh - Wilders Grove,919-996-3030,2020-01-21T18:34:38Z,MUNI_GOV,200-8,35.788789,-78.573106,Raleigh,,,NC,630 Beacon Lake Dr,27610,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
private,,,,2019-11-08,,ELEC,Private,42402,2011-11-14,LG,E,City of Raleigh - Transit Center,919-996-3030,2020-01-21T18:34:38Z,MUNI_GOV,GPS,35.767483,-78.563464,Raleigh,,,NC,808 Bus Way,27610,US,"['J1772', 'NEMA520']",,2.0,2.0,Non-Networked,,,Free,,,
public,24 hours daily,,,2019-11-08,,ELEC,Public,42403,2011-11-14,LG,E,City of Raleigh - Transit Center,919-996-3030,2020-01-21T18:34:38Z,MUNI_GOV,GPS,35.767483,-78.563464,Raleigh,,,NC,808 Bus Way,27610,US,"['J1772', 'NEMA520']",,1.0,1.0,Non-Networked,,,Free,,,
public,Garage business hours; pay lot,,Cash M V,2019-10-04,,ELEC,Public,42927,2011-08-08,P,E,The Green Parking Garage,704-944-1830,2020-01-21T18:34:38Z,PAY_GARAGE,200-9,35.223874,-80.846273,Charlotte,At S Tryon St and Levine Avenue of the Arts,,NC,435 S Tryon St,28202,US,['J1772'],,,6.0,Non-Networked,,,Free,,,
public,24 hours daily,,,2019-10-04,,ELEC,Public,43088,2012-02-01,T,E,North Hills,919-881-1146,2020-01-21T18:34:38Z,SHOPPING_CENTER,GPS,35.83788,-78.642,Raleigh,"Located near REI and North State Bank, right off of Six Forks Rd",,NC,4291 The Circle At North Hills St,27609,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,24 hours daily,,,2019-10-04,,ELEC,Public,43324,2012-02-20,T,E,North Carolina State University - McKimmon Center and Solar House,919-515-0314,2020-01-21T18:34:38Z,COLLEGE_CAMPUS,GPS,35.78214,-78.6864,Raleigh,Gorman Ave between Varsity and Western,,NC,1201 Gorman Ave,27606,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,24 hours daily,,,2019-02-06,,ELEC,Public,43363,2012-02-03,P,E,Taylor Automotive,919-774-4037,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.49416,-79.180591,Sanford,Located on the right of the building,,NC,1007 Hawkins Ave,27330,US,['J1772'],,,1.0,Non-Networked,,,Free,,,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,43876,2011-04-01,P,E,Carolina Nissan,336-584-0201,2020-01-21T18:34:38Z,CAR_DEALER,200-9,36.063557,-79.503697,Burlington,,,NC,1329 Huffman Mill Rd,27215,US,"['CHADEMO', 'J1772']",1.0,,2.0,Non-Networked,,,Free,,,
private,Dealership use only,,,2019-09-09,,ELEC,Private,43877,2011-04-01,P,E,Carolina Nissan,336-584-0201,2020-01-21T18:34:38Z,CAR_DEALER,200-9,36.063557,-79.503697,Burlington,,,NC,1329 Huffman Mill Rd,27215,US,['J1772'],,,2.0,Non-Networked,,,,,,
public,24 hours daily,,,2019-10-04,,ELEC,Public,43880,2012-02-01,SG,E,North Carolina State University - Joyner Visitor Center,919-513-1200,2020-01-21T18:34:38Z,COLLEGE_CAMPUS,200-9,35.784037,-78.684667,Raleigh,,,NC,1210 Varsity Dr,27606,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,24 hours daily; staff and visitor use only,,,2019-10-04,,ELEC,Public,44301,2012-02-29,T,E,Northern Wake Tech Community College,919-532-5502,2020-01-21T18:34:38Z,COLLEGE_CAMPUS,GPS,35.867552,-78.543695,Raleigh,"Parking Lot A, at intersection of Success Way and Excellence Drive",,NC,6600 Louisburg Rd,27616,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,Market business hours,,,2019-10-04,,ELEC,Public,44302,2012-01-01,P,E,Whole Foods Market,919-354-0350,2020-01-21T18:34:38Z,GROCERY,200-9,35.898899,-78.650239,Raleigh,East side parking lot,,NC,8710 Six Forks Rd,27615,US,['J1772'],,,2.0,Non-Networked,,,,,,
public,24 hours daily,,,2019-10-04,,ELEC,Public,44376,2012-02-29,T,E,Asheville Chamber of Commerce & Visitors Center,828-258-6101  828-258-6129,2020-01-21T18:34:38Z,MUNI_GOV,GPS,35.597527,-82.560582,Asheville,,,NC,36 Montford Ave,28801,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,24 hours daily,CALL,,2019-10-04,,ELEC,Public - Call ahead,44377,2012-02-29,T,E,College Street Parking Deck,828-259-5792,2020-01-21T18:34:38Z,PAY_GARAGE,200-9,35.597377,-82.549206,Asheville,Center of ground level,,NC,164 College St,28801,US,['J1772'],,,2.0,Non-Networked,,,$2 for first hour; $1 per each hour thereafter,,,
public,24 hours daily,,,2019-10-04,,ELEC,Public,44378,2012-02-29,T,E,Ingles Markets - Skyland Plaza,828-274-0804,2020-01-21T18:34:38Z,GROCERY,GPS,35.499836,-82.522586,Asheville,Close to gas station and car wash in front of Ingles,,NC,1865 Hendersonville Rd,28803,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,24 hours daily,,,2020-01-27,,ELEC,Public,44944,,,E,FAYETTEVILLE NC,888-758-4389,2020-01-27T10:14:46Z,,200-9,35.052493,-78.880384,Fayetteville,"FRANKLIN GAR. 1; Franklin St. Garage, P1 Level NE corner inside wall
FRANKLIN GAR. 2; Franklin St. Garage, P1 Level NE corner inside wall
FRANKLIN GAR. 3; Franklin St. Garage, P1 Level SE corner inside wall",,NC,208 Franklin St,28301,US,"['J1772', 'NEMA520']",,3.0,3.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:24613', '1:27853', '1:27863'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,45853,,,E,TOWN OF CARY,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.7968864,-78.8080444,Cary,CHARGER #1; Hours of Operation: 8:30 AM to 4:30 PM,,NC,400 James Jackson Ave,27513,US,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:5226'], 'ports': ['1']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,45854,,,E,"CHARLOTTE, NC",888-758-4389,2020-01-27T10:14:46Z,,200-8,35.222219,-80.839351,Charlotte,"CMGC PRKG L1-1; Inside first floor of parking deck
CMGC PRKG L1-2; Located on first level of parking deck
CMGC PRKG L1-3; Handicap space by main parking deck entrance Level 1 exterior 
CMGC STATION 2
CMGC STATION 4; CMGC Parking Deck L-1",,NC,232 S Davidson St,28202,US,['J1772'],,,9.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:153659', '1:155159', '1:155333', '1:160375', '1:788741'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,45856,,,E,"CHARLOTTE, NC",888-758-4389,2020-01-27T10:14:46Z,,GPS,35.2274543,-80.842849,Charlotte,N TRYON ST 1; -,,NC,101 N Tryon St,28202,US,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:159123'], 'ports': ['1']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,45858,,,E,"CHARLOTTE, NC",888-758-4389,2020-01-27T10:14:46Z,,200-9,35.324191,-80.773292,Charlotte,"MALLARD CK 01
MALLARD CK 02",,NC,1712 J N Pease Pl,28262,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:136531', '1:145647'], 'ports': ['1', '2']}",
public,24 hours daily; for employee and guest use only,,,2019-10-04,,ELEC,Public,46403,2012-02-15,P,E,BECO South,704-808-4200,2020-01-21T18:34:38Z,OFFICE_BLDG,GPS,35.3089417863517,-80.7676810669647,Charlotte,,,NC,8505 IBM Dr,28262,US,['J1772'],,,1.0,Non-Networked,,,Free,,,
public,24 hours daily,,,2019-10-04,,ELEC,Public,46406,2012-02-04,LG,E,City of Durham - Goldenbelt,919-560-7999,2020-01-21T18:34:38Z,MUNI_GOV,GPS,35.99017,-78.8902,Durham,In back of building,,NC,807 E Main St,27701,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,46407,2011-08-01,P,E,Michael Jordan Nissan,919-489-3800,2020-01-21T18:34:38Z,CAR_DEALER,GPS,35.9705175060388,-78.9568475865082,Durham,,,NC,3930 Chapel Hill Blvd,27707,US,"['CHADEMO', 'J1772']",1.0,,2.0,Non-Networked,,,Free,,,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,46996,2012-01-31,P,E,Friendship Nissan,888-667-0284,2020-01-21T18:34:38Z,CAR_DEALER,GPS,35.334675,-81.892822,Forest City,,,NC,156 Oak St Extension,28043,US,['J1772'],,,1.0,Non-Networked,,,Free,,,
private,,,,2019-09-09,,ELEC,Private,46997,2012-01-31,P,E,Friendship Nissan,888-667-0284,2020-01-21T18:34:38Z,CAR_DEALER,GPS,35.334675,-81.892822,Forest City,,,NC,156 Oak St Extension,28043,US,['J1772'],,,1.0,Non-Networked,,,,,,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,46998,2012-01-31,P,E,Gastonia Nissan,704-867-0000,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.258815,-81.129079,Gastonia,,,NC,2755 E Franklin Blvd,28054,US,"['CHADEMO', 'J1772']",1.0,,1.0,Non-Networked,,,Free,,,
private,,,,2019-09-09,,ELEC,Private,46999,2012-01-31,P,E,Gastonia Nissan,704-867-0000,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.258815,-81.129079,Gastonia,,,NC,2755 E Franklin Blvd,28054,US,['J1772'],,,1.0,Non-Networked,,,,,,
public,Dealership business hours,CALL,,2019-03-07,,ELEC,Public - Call ahead,47000,2012-01-31,P,E,Deacon Jones Nissan,919-734-2411,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.400146,-78.014743,Goldsboro,,,NC,1220 W Grantham St,27530,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,Dealership business hours; contact 336-292-9191 for more information,CALL,,2020-01-13,,ELEC,Public - Call ahead,47003,2012-01-31,P,E,Crown Nissan,,2020-01-21T18:34:38Z,CAR_DEALER,GPS,36.060613,-79.876505,Greensboro,,,NC,3900 W Wendover Ave,27407,US,"['CHADEMO', 'J1772']",1.0,,1.0,Non-Networked,,,Free,,,
private,,,,2020-01-13,,ELEC,Private,47004,2012-01-31,P,E,Crown Nissan,,2020-01-21T18:34:38Z,CAR_DEALER,GPS,36.060613,-79.876505,Greensboro,,,NC,3900 W Wendover Ave,27407,US,['J1772'],,,1.0,Non-Networked,,,,,,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,47005,2012-01-31,P,E,Greenville Nissan,252-756-1738,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.571982,-77.408327,Greenville,,,NC,991 Greenville Blvd SW,27834,US,"['CHADEMO', 'J1772']",1.0,,1.0,Non-Networked,,,Free,,,
private,,,,2019-09-09,,ELEC,Private,47006,2012-01-31,P,E,Greenville Nissan,252-756-1738,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.571982,-77.408327,Greenville,,,NC,991 Greenville Blvd SW,27834,US,['J1772'],,,1.0,Non-Networked,,,,,,
public,24 hours daily; pay lot,,,2019-10-04,,ELEC,Public,47007,2011-12-01,LG,E,City of Hendersonville - Dogwood Parking Lot,828-697-3000,2020-01-21T18:34:38Z,PAY_LOT,200-8,35.316931,-82.461565,Hendersonville,N Church & 4th Ave W.,,NC,411 N Church St,28792,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,47008,2012-01-31,P,E,Hunter Nissan,828-697-2222,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.301937,-82.440374,Hendersonville,,,NC,1340 Spartanburg Hwy,28792,US,['J1772'],,,1.0,Non-Networked,,,Free,,,
private,,,,2019-09-09,,ELEC,Private,47009,2012-01-31,P,E,Hunter Nissan,828-697-2222,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.301937,-82.440374,Hendersonville,,,NC,1340 Spartanburg Hwy,28792,US,['J1772'],,,1.0,Non-Networked,,,,,,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,47010,2012-01-31,P,E,Modern Nissan - Hickory,828-324-5040,2020-01-21T18:34:38Z,CAR_DEALER,GPS,35.710136,-81.321182,Hickory,,,NC,840 US Highway 70 SE,28602,US,"['CHADEMO', 'J1772']",1.0,,2.0,Non-Networked,,,Free,,,
private,,,,2019-09-09,,ELEC,Private,47011,2012-01-31,P,E,Modern Nissan - Hickory,828-324-5040,2020-01-21T18:34:38Z,CAR_DEALER,GPS,35.710136,-81.321182,Hickory,,,NC,840 US Highway 70 SE,28602,US,['J1772'],,,1.0,Non-Networked,,,,,,
private,,,,2019-09-09,,ELEC,Private,47012,2011-03-15,P,E,Vann Yorks High Point Nissan,336-884-4122,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.937981,-79.996012,High Point,,,NC,1810 S Main St,27260,US,['J1772'],,,1.0,Non-Networked,,,,,,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,47013,2012-01-31,P,E,Don Williamson Nissan,910-353-7700,2020-01-21T18:34:38Z,CAR_DEALER,200-9,34.761337,-77.381386,Jacksonville,,,NC,310 Western Blvd,28546,US,['J1772'],,,1.0,Non-Networked,,,Free,,,
private,,,,2019-09-09,,ELEC,Private,47014,2012-01-31,P,E,Don Williamson Nissan,910-353-7700,2020-01-21T18:34:38Z,CAR_DEALER,200-9,34.761337,-77.381386,Jacksonville,,,NC,310 Western Blvd,28546,US,['J1772'],,,1.0,Non-Networked,,,,,,
public,24 hours daily,,,2019-10-04,,ELEC,Public,47017,2017-07-06,J,E,Montreat College,828-669-8012,2020-01-21T18:34:38Z,COLLEGE_CAMPUS,GPS,35.64569,-82.296916,Montreat,Located in L Nelson Bell Library & Belk Student Center parking lot. Lookout Road & Appalachian Way,,NC,310 Appalachian Way,28757,US,['J1772'],,,1.0,Non-Networked,,,Free,,,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,47018,2012-01-31,P,E,Eastern Carolina Nissan,252-636-1000,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.048239,-77.014397,New Bern,,,NC,3315 Highway 70 E,28560,US,['J1772'],,,1.0,Non-Networked,,,Free,,,
private,,,,2019-09-09,,ELEC,Private,47019,2012-01-31,P,E,Eastern Carolina Nissan,252-636-1000,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.048239,-77.014397,New Bern,,,NC,3315 Highway 70 E,28560,US,['J1772'],,,1.0,Non-Networked,,,,,,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,47024,2012-01-31,P,E,Reidsville Nissan,336-342-5741,2020-01-21T18:34:38Z,CAR_DEALER,200-9,36.323241,-79.686657,Reidsville,,,NC,1123 Freeway Dr,27320,US,['J1772'],,,1.0,Non-Networked,,,Free,,,
private,,,,2019-09-09,,ELEC,Private,47025,2012-01-31,P,E,Reidsville Nissan,336-342-5741,2020-01-21T18:34:38Z,CAR_DEALER,200-9,36.323241,-79.686657,Reidsville,,,NC,1123 Freeway Dr,27320,US,['J1772'],,,1.0,Non-Networked,,,,,,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,47026,2012-01-31,P,E,Nissan of Roanoke Rapids,252-537-1041,2020-01-21T18:34:38Z,CAR_DEALER,200-9,36.42331,-77.635287,Roanoke Rapids,,,NC,407 Premier Blvd,27870,US,['J1772'],,,1.0,Non-Networked,,,Free,,,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,47028,2012-01-31,P,E,Griffin Nissan,910-997-5516,2020-01-21T18:34:38Z,CAR_DEALER,200-9,34.918104,-79.744733,Rockingham,,,NC,1780 E Broad Ave,28379,US,['J1772'],,,1.0,Non-Networked,,,Free,,,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,47029,2012-01-31,P,E,Simmons Nissan,336-786-8371,2020-01-21T18:34:38Z,CAR_DEALER,200-9,36.480616,-80.616003,Mount Airy,,,NC,1994 Rockford St,27030,US,['J1772'],,,1.0,Non-Networked,,,Free,,,
private,,,,2019-09-09,,ELEC,Private,47030,2012-01-31,P,E,Simmons Nissan,336-786-8371,2020-01-21T18:34:38Z,CAR_DEALER,200-9,36.480616,-80.616003,Mount Airy,,,NC,1994 Rockford St,27030,US,['J1772'],,,1.0,Non-Networked,,,,,,
private,,,,2019-09-09,,ELEC,Private,47031,2012-01-31,P,E,Griffin Nissan,910-997-5516,2020-01-21T18:34:38Z,CAR_DEALER,200-9,34.918104,-79.744733,Rockingham,,,NC,1780 E Broad Ave,28379,US,['J1772'],,,1.0,Non-Networked,,,,,,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,47032,2012-01-31,P,E,Ben Mynatt Nissan,704-633-7270,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.644549,-80.488272,Salisbury,,,NC,629 Jake Alexander Blvd S,28147,US,"['CHADEMO', 'J1772']",1.0,,1.0,Non-Networked,,,Free,,,
private,,,,2019-09-09,,ELEC,Private,47033,2012-01-31,P,E,Ben Mynatt Nissan,704-633-7270,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.644549,-80.488272,Salisbury,,,NC,629 Jake Alexander Blvd S,28147,US,['J1772'],,,1.0,Non-Networked,,,,,,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,47034,2012-01-31,P,E,Classic Nissan - Sanford,919-775-2351,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.44411,-79.1282,Sanford,,,NC,3305 NC Highway 87 S,27332,US,"['CHADEMO', 'J1772']",1.0,,1.0,Non-Networked,,,Free,,,
private,,,,2019-09-09,,ELEC,Private,47035,2012-01-31,P,E,Classic Nissan - Sanford,919-775-2351,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.44411,-79.1282,Sanford,,,NC,3305 NC Highway 87 S,27332,US,['J1772'],,,1.0,Non-Networked,,,,,,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,47036,2012-01-31,P,E,Pinehurst Nissan,910-684-1010,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.161067,-79.421191,Southern Pines,,,NC,10910 S US Highway 15-501,28387,US,['J1772'],,,1.0,Non-Networked,,,Free,,,
private,,,,2019-09-09,,ELEC,Private,47037,2012-01-31,P,E,Pinehurst Nissan,910-684-1010,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.161067,-79.421191,Southern Pines,,,NC,10910 S US Highway 15-501,28387,US,['J1772'],,,1.0,Non-Networked,,,,,,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,47038,2012-01-31,P,E,Classic Nissan - Statesville,704-872-8500,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.770417,-80.858363,Statesville,,,NC,1244 E Garner Bagnal Blvd,28677,US,['J1772'],,,1.0,Non-Networked,,,Free,,,
